OfficialNameSuburb,OfficialNameState,Latitude,Longitude,Month,TemperatureMean,TemperatureMax,TemperatureMin,RainSum,RelativeHumidityMean,RelativeHumidityMax,RelativeHumidityMin
ACT Remainder - Belconnen,Australian Capital Territory,-35.23395816,149.02907819396805,1,19.162104354838707,25.694564161290323,13.66230670967742,78.60000004,71.16490493548386,93.47522970967742,43.33974948387097
ACT Remainder - Belconnen,Australian Capital Territory,-35.23395816,149.02907819396805,2,18.858002642857144,25.41864257142857,13.156143357142856,12.4000001,66.86870196,91.68425754,39.39557235714285
ACT Remainder - Belconnen,Australian Capital Territory,-35.23395816,149.02907819396805,3,17.466338677419355,23.191338225806454,12.675210022580645,88,70.43400538709678,91.40412545,45.92552274193549
ACT Remainder - Belconnen,Australian Capital Territory,-35.23395816,149.02907819396805,4,12.477541733333334,17.799833166666666,8.194833536666668,118.30000000000001,79.95271783333332,95.63663706666667,56.1630394
ACT Remainder - Belconnen,Australian Capital Territory,-35.23395816,149.02907819396805,5,7.422320135,12.551016548387096,3.612306455,25.900000000000002,84.34826006451613,97.0559769,62.21326212903226
ACT Remainder - Belconnen,Australian Capital Territory,-35.23395816,149.02907819396805,6,7.0735834466666665,11.091500289999999,4.33150004,51.70000109,86.53905106666666,96.55161893333334,67.0374861
ACT Remainder - Belconnen,Australian Capital Territory,-35.23395816,149.02907819396805,7,6.2069974225806455,11.328435861290322,2.678435470967742,20.8000002,86.53851225806451,97.85104851612904,63.79212429032258
ACT Remainder - Belconnen,Australian Capital Territory,-35.23395816,149.02907819396805,8,7.879914177419354,13.418758225806453,3.7994031903225807,29.3,83.95692416129032,97.60111777419354,60.36256609677419
ACT Remainder - Belconnen,Australian Capital Territory,-35.23395816,149.02907819396805,9,11.570527806666666,18.286499733333336,5.59150008,11.10000008,69.85769183333333,91.34605,42.09230793333334
ACT Remainder - Belconnen,Australian Capital Territory,-35.23395816,149.02907819396805,10,13.179040387096775,19.649402838709676,7.310693606451613,36.00000025,62.43682267741935,86.93105596774194,36.103261129032255
ACT Remainder - Belconnen,Australian Capital Territory,-35.23395816,149.02907819396805,11,17.299347266666665,23.3248329,11.853167066666666,114.49999960000001,67.78990733333333,92.86585050000001,40.38170623333333
ACT Remainder - Belconnen,Australian Capital Territory,-35.23395816,149.02907819396805,12,19.22447029032258,25.24295125806452,13.942952,85.09999774,68.19921796774193,90.60592841935484,42.24833358064516
ACT Remainder - Booth,Australian Capital Territory,-35.61605019,149.04946376848306,1,17.413994806451612,23.976226161290324,12.221386870967743,86.7000007,73.96566506451613,94.28425412903226,46.18349493548387
ACT Remainder - Booth,Australian Capital Territory,-35.61605019,149.04946376848306,2,17.10172042857143,23.703357357142856,11.812285571428571,65.6999999,71.49551489285714,92.78622839285715,43.68314260714286
ACT Remainder - Booth,Australian Capital Territory,-35.61605019,149.04946376848306,3,15.461239290322581,21.327839032258066,10.856870770967742,89.30000009999999,74.40884919354839,92.53480126,49.70773061290323
ACT Remainder - Booth,Australian Capital Territory,-35.61605019,149.04946376848306,4,11.201819393333333,16.151333433333335,6.893000006666667,98.1000002,79.57629236666666,94.19797976666668,57.491376833333334
ACT Remainder - Booth,Australian Capital Territory,-35.61605019,149.04946376848306,5,6.2928923645161285,11.813322374193548,1.9391290623225808,26.5000003,79.99353445,95.25090429032258,56.6227721
ACT Remainder - Booth,Australian Capital Territory,-35.61605019,149.04946376848306,6,5.705569333333333,9.589666593333334,2.761333286666667,40.0000001,84.57729736666667,95.61416609999999,65.50966923333334
ACT Remainder - Booth,Australian Capital Territory,-35.61605019,149.04946376848306,7,5.344438129032258,10.889128838709677,1.0891289772903225,21.1,80.31691438709677,94.83414035483871,58.41744622580645
ACT Remainder - Booth,Australian Capital Territory,-35.61605019,149.04946376848306,8,6.883954212903226,12.639128806451613,2.2359031877419357,33.9999997,79.90566606451613,95.31710077419355,56.058740354838704
ACT Remainder - Booth,Australian Capital Territory,-35.61605019,149.04946376848306,9,10.45702784,17.489666666666665,4.117999996666667,18.60000025,66.47193326666667,88.2410646,37.930777766666665
ACT Remainder - Booth,Australian Capital Territory,-35.61605019,149.04946376848306,10,11.636777003225806,18.48267764516129,5.750419303225806,51.6999997,63.926794290322576,88.79003335483871,35.584068064516124
ACT Remainder - Booth,Australian Capital Territory,-35.61605019,149.04946376848306,11,15.292791849999999,22.054666966666666,9.98633315,161.8999948,71.56497896666666,93.34223186666667,41.1951289
ACT Remainder - Booth,Australian Capital Territory,-35.61605019,149.04946376848306,12,17.403981516129033,23.819774612903224,12.002032,134.3999996,71.65876761290323,93.62053822580644,43.573162741935484
ACT Remainder - Canberra Central,Australian Capital Territory,-35.27465802,149.09616582772003,1,19.162104354838707,25.694564161290323,13.66230670967742,78.60000004,71.16490493548386,93.47522970967742,43.33974948387097
ACT Remainder - Canberra Central,Australian Capital Territory,-35.27465802,149.09616582772003,2,18.858002642857144,25.41864257142857,13.156143357142856,12.4000001,66.86870196,91.68425754,39.39557235714285
ACT Remainder - Canberra Central,Australian Capital Territory,-35.27465802,149.09616582772003,3,17.466338677419355,23.191338225806454,12.675210022580645,88,70.43400538709678,91.40412545,45.92552274193549
ACT Remainder - Canberra Central,Australian Capital Territory,-35.27465802,149.09616582772003,4,12.477541733333334,17.799833166666666,8.194833536666668,118.30000000000001,79.95271783333332,95.63663706666667,56.1630394
ACT Remainder - Canberra Central,Australian Capital Territory,-35.27465802,149.09616582772003,5,7.422320135,12.551016548387096,3.612306455,25.900000000000002,84.34826006451613,97.0559769,62.21326212903226
