"Year","Temperature","11-year mean",,"Pyear","P","Nyear","N"
1910,-0.5,"NaN",,1914,0.12,1910,-0.5
1911,-0.68,"NaN",,1915,0.07,1911,-0.68
1912,-0.2,"NaN",,1928,0.16,1912,-0.2
1913,-0.87,"NaN",,1938,0.19,1913,-0.87
1914,0.12,"NaN",,1942,0.08,1916,-0.57
1915,0.07,-0.462727272727273,,1957,0.04,1917,-1.24
1916,-0.57,-0.438181818181818,,1958,0.14,1918,-0.54
1917,-1.24,-0.419090909090909,,1959,0.24,1919,-0.15
1918,-0.54,-0.435454545454545,,1961,0.05,1920,-0.53
1919,-0.15,-0.419090909090909,,1965,0.25,1921,-0.23
1920,-0.53,-0.5,,1972,0.15,1922,-0.47
1921,-0.23,-0.521818181818182,,1973,0.54,1923,-0.38
1922,-0.47,-0.516363636363636,,1979,0.37,1924,-0.69
1923,-0.38,-0.389090909090909,,1980,0.74,1925,-0.77
1924,-0.69,-0.419090909090909,,1981,0.27,1926,-0.17
1925,-0.77,-0.427272727272727,,1983,0.33,1927,-0.51
1926,-0.17,-0.432727272727273,,1985,0.21,1929,-0.87
1927,-0.51,-0.45,,1986,0.22,1930,-0.24
1928,0.16,-0.448181818181818,,1987,0.17,1931,-0.59
1929,-0.87,-0.446363636363636,,1988,0.73,1932,-0.42
1930,-0.24,-0.429090909090909,,1990,0.47,1933,-0.45
1931,-0.59,-0.371818181818182,,1991,0.6,1934,-0.36
1932,-0.42,-0.389090909090909,,1992,0.12,1935,-0.5
1933,-0.45,-0.325454545454545,,1993,0.31,1936,-0.14
1934,-0.36,-0.396363636363636,,1994,0.18,1937,-0.36
1935,-0.5,-0.339090909090909,,1995,0.16,1939,-0.62
1936,-0.14,-0.367272727272727,,1996,0.6,1940,-0.24
1937,-0.36,-0.306363636363636,,1997,0.3,1941,-0.55
1938,0.19,-0.324545454545455,,1998,0.97,1943,-0.62
1939,-0.62,-0.32,,1999,0.32,1944,-0.4
1940,-0.24,-0.313636363636364,,2001,0.05,1945,-0.29
1941,-0.55,-0.334545454545455,,2002,0.71,1946,-0.73
1942,0.08,-0.344545454545455,,2003,0.69,1947,-0.25
1943,-0.62,-0.352727272727273,,2004,0.54,1948,-0.45
1944,-0.4,-0.455454545454545,,2005,1.16,1949,-0.94
1945,-0.29,-0.454545454545455,,2006,0.5,1950,-0.61
1946,-0.73,-0.471818181818182,,2007,0.76,1951,-0.43
1947,-0.25,-0.460909090909091,,2008,0.45,1952,-0.43
1948,-0.45,-0.509090909090909,,2009,0.93,1953,-0.45
1949,-0.94,-0.485454545454545,,2010,0.33,1954,-0.36
1950,-0.61,-0.478181818181818,,2012,0.24,1955,-0.32
1951,-0.43,-0.535454545454545,,2013,1.33,1956,-0.92
1952,-0.43,-0.465454545454545,,2014,1.04,1960,-0.66
1953,-0.45,-0.43,,2015,0.94,1962,-0.11
1954,-0.36,-0.367272727272727,,2016,0.99,1963,-0.13
1955,-0.32,-0.341818181818182,,2017,1.06,1964,-0.22
1956,-0.92,-0.281818181818182,,2018,1.12,1966,-0.5
1957,0.04,-0.252727272727273,,2019,1.52,1967,-0.22
1958,0.14,-0.225454545454545,,2020,1.15,1968,-0.39
1959,0.24,-0.204545454545455,,,,1969,-0.03
1960,-0.66,-0.149090909090909,,,,1970,-0.1
1961,0.05,-0.165454545454545,,,,1971,-0.22
1962,-0.11,-0.101818181818182,,,,1974,-0.7
1963,-0.13,-0.140909090909091,,,,1975,-0.22
1964,-0.22,-0.156363636363636,,,,1976,-0.75
1965,0.25,-0.187272727272727,,,,1977,-0.04
1966,-0.5,-0.147272727272727,,,,1978,-0.31
1967,-0.22,-0.138181818181818,,,,1982,-0.04
1968,-0.39,-0.079090909090909,,,,1984,-0.38
1969,-0.03,-0.130909090909091,,,,1989,-0.02
1970,-0.1,-0.130909090909091,,,,2000,-0.04
1971,-0.22,-0.221818181818182,,,,2011,0
1972,0.15,-0.18,,,,,
1973,0.54,-0.188181818181818,,,,,
1974,-0.7,-0.119090909090909,,,,,
1975,-0.22,-0.049090909090909,,,,,
1976,-0.75,-0.015454545454546,,,,,
1977,-0.04,0.000909090909091,,,,,
1978,-0.31,0.017272727272727,,,,,
1979,0.37,-0.066363636363636,,,,,
1980,0.74,0.016363636363636,,,,,
1981,0.27,0.056363636363636,,,,,
1982,-0.04,0.14,,,,,
1983,0.33,0.21,,,,,
1984,-0.38,0.236363636363636,,,,,
1985,0.21,0.245454545454545,,,,,
1986,0.22,0.232727272727273,,,,,
1987,0.17,0.219090909090909,,,,,
1988,0.73,0.250909090909091,,,,,
1989,-0.02,0.237272727272727,,,,,
1990,0.47,0.286363636363636,,,,,
1991,0.6,0.321818181818182,,,,,
1992,0.12,0.329090909090909,,,,,
1993,0.31,0.401818181818182,,,,,
1994,0.18,0.364545454545454,,,,,
1995,0.16,0.362727272727273,,,,,
1996,0.6,0.324545454545454,,,,,
1997,0.3,0.334545454545455,,,,,
1998,0.97,0.386363636363636,,,,,
1999,0.32,0.407272727272727,,,,,
2000,-0.04,0.496363636363636,,,,,
2001,0.05,0.527272727272727,,,,,
2002,0.71,0.541818181818182,,,,,
2003,0.69,0.555454545454545,,,,,
2004,0.54,0.551818181818182,,,,,
2005,1.16,0.552727272727273,,,,,
2006,0.5,0.556363636363636,,,,,
2007,0.76,0.573636363636364,,,,,
2008,0.45,0.63,,,,,
2009,0.93,0.661818181818182,,,,,
2010,0.33,0.698181818181818,,,,,
2011,0,0.682727272727273,,,,,
2012,0.24,0.733636363636364,,,,,
2013,1.33,0.766363636363636,,,,,
2014,1.04,0.863636363636364,,,,,
2015,0.94,0.883636363636364,,,,,
2016,0.99,"NaN",,,,,
2017,1.06,"NaN",,,,,
2018,1.12,"NaN",,,,,
2019,1.52,"NaN",,,,,
2020,1.15,"NaN",,,,,
