OfficialNameSuburb,Latitude,Longitude,TemperatureMean,TemperatureMax,TemperatureMin,RainSum,RelativeHumidityMean,RelativeHumidityMax,RelativeHumidityMin
ACT Remainder - Belconnen,-35.23395816,149.02907819396805,13.116248850410958,18.877184809315068,8.371568676123287,671.6999991,74.89299388493151,93.59403526,49.99134690136986
ACT Remainder - Booth,-35.61605019,149.04946376848306,11.649643894520548,17.62642476,6.773821820679452,827.9999954,74.84123670958904,93.24236331232878,49.363031345205485
ACT Remainder - Canberra Central,-35.27465802,149.09616582772003,13.116248850410958,18.877184809315068,8.371568676123287,671.6999991,74.89299388493151,93.59403526,49.99134690136986
ACT Remainder - Coree,-35.28632059,148.9083715979342,13.116248850410958,18.877184809315068,8.371568676123287,671.6999991,74.89299388493151,93.59403526,49.99134690136986
ACT Remainder - Cotter River,-35.46437158,148.83658176918152,11.649643894520548,17.62642476,6.773821820679452,827.9999954,74.84123670958904,93.24236331232878,49.363031345205485
ACT Remainder - Gungahlin,-35.17893339,149.14475602129104,13.116248850410958,18.877184809315068,8.371568676123287,671.6999991,74.89299388493151,93.59403526,49.99134690136986
ACT Remainder - Hall,-35.16751456,149.0558666347882,13.116248850410958,18.877184809315068,8.371568676123287,671.6999991,74.89299388493151,93.59403526,49.99134690136986
ACT Remainder - Jerrabomberra,-35.36591866,149.1587291,11.649643894520548,17.62642476,6.773821820679452,827.9999954,74.84123670958904,93.24236331232878,49.363031345205485
ACT Remainder - Kowen,-35.3107707,149.31351842806916,12.10920108191781,17.681061846301372,7.733253522356165,621.4999953,75.99828283561644,94.31551330958905,49.86130050136986
ACT Remainder - Majura,-35.26932621,149.2123444555024,12.10920108191781,17.681061846301372,7.733253522356165,621.4999953,75.99828283561644,94.31551330958905,49.86130050136986
ACT Remainder - Molonglo Valley,-35.29217335,149.05984283325742,13.116248850410958,18.877184809315068,8.371568676123287,671.6999991,74.89299388493151,93.59403526,49.99134690136986
ACT Remainder - Paddys River,-35.44471843,148.9667571582711,11.649643894520548,17.62642476,6.773821820679452,827.9999954,74.84123670958904,93.24236331232878,49.363031345205485
ACT Remainder - Rendezvous Creek,-35.7082875,148.9629012455191,10.308622091041096,16.269986096712326,5.727383653424657,795.0000034,73.09544281917809,91.87310358356164,46.64416270410958
ACT Remainder - Stromlo,-35.3140662,148.99035010724552,13.116248850410958,18.877184809315068,8.371568676123287,671.6999991,74.89299388493151,93.59403526,49.99134690136986
ACT Remainder - Tuggeranong,-35.48137634,149.10275132600432,11.649643894520548,17.62642476,6.773821820679452,827.9999954,74.84123670958904,93.24236331232878,49.363031345205485
ACT Remainder - Weston Creek,-35.31213633,149.0716655170166,13.116248850410958,18.877184809315068,8.371568676123287,671.6999991,74.89299388493151,93.59403526,49.99134690136986
Aarons Pass,-32.87902902,149.8028703903977,11.790246625999998,18.75264397917808,6.4057944906164375,551.3000022,73.55023376986301,93.93627844,43.092862759999996
Abba River,-33.68343701,115.48841539772828,17.307805003835615,22.944602928767125,12.54953438410959,629.3000015,67.89747201917808,86.22750532876712,46.87839907945206
Abbey,-33.66366085,115.25639268653264,17.232229553424656,22.331424671232877,12.95923304410959,490.8000019,68.42307516712329,85.30546195342465,48.99302739178083
Abbeyard,-37.01940631,146.76911449414342,10.713922514246574,16.61041812109589,5.798226022904109,1165.300001,78.64456091780822,95.42915116,53.753368327397254
Abbeywood,-26.10502808,151.64126268265818,19.95175309589041,26.635999575342463,14.728602656438357,602.7000028,66.54134926849315,90.05677638630138,38.549006697260275
Abbotsbury,-33.87002358,150.86123744382346,16.695205437260274,22.677808219178083,11.40808219178082,552.3000004,63.51604765205479,82.60502336438356,42.339849553424656
Abbotsford (NSW),-33.85067104,151.12933737243864,17.881454891780823,22.611740260273972,14.140644000273973,846.4000015,72.08690218356165,88.96902103013699,50.60446461917808
Abbotsford (Qld),-24.8310312,152.01057103371105,21.363650394520548,27.763273893150686,16.85231480630137,747.5000004,71.37855329589041,90.98539836,43.58555100273973
Abbotsford (Vic.),-37.80457663,144.99976344570837,14.09390993671233,18.87205511780822,10.183013680821917,803.2000004,74.13733892876712,89.95593009041096,54.235809983561644
Abbotsham,-41.21407008,146.18216128780298,11.19572358410959,15.621431367123288,7.552116281315069,947.9000008,78.65384671780822,93.17699809863014,58.47774637260274
Abels Bay,-43.22949624,147.10741085979956,10.493993232054795,14.639472641917807,7.147006926186301,832.7000026,76.50018227,89.43765454246575,58.813147336986304
Abercorn,-25.1367715,151.14773451697832,20.331796671232876,27.478280569863013,14.609513700273972,617.7999983,67.39735738356164,91.78589806301369,38.15004043561644
